AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
0%,African Nations Championship 2020,Africa,0%,0%,0,42,https://www.betexplorer.com/soccer/africa/african-nations-championship/stats/
,,,,,,,
18%,2. HNL 2018/2019,Croatia,26%,57%,125,57,https://www.betexplorer.com/soccer/croatia/2-hnl/stats/
,,,,,,,
50%,Croatian Cup 2018/2019,Croatia,9%,41%,44,2,https://www.betexplorer.com/soccer/croatia/croatian-cup/stats/
,,,,,,,
39%,Division 1 2018/2019,Djibouti,24%,37%,70,20,https://www.betexplorer.com/soccer/djibouti/division-1/stats/
,,,,,,,
33%,3F Ligaen Women 2018/2019,Denmark,22%,44%,9,21,https://www.betexplorer.com/soccer/denmark/3f-ligaen-women/stats/
,,,,,,,
29%,Division 2 2018/2019,Cyprus,21%,51%,200,40,https://www.betexplorer.com/soccer/cyprus/division-2/stats/
,,,,,,,
65%,Landspokal Cup 2018/2019,Denmark,23%,12%,97,2,https://www.betexplorer.com/soccer/denmark/landspokal-cup/stats/
,,,,,,,
100%,Super Cup 2019,Colombia,0%,0%,2,0,https://www.betexplorer.com/soccer/colombia/super-cup/stats/
,,,,,,,
32%,Copa Aguila 2019,Colombia,34%,34%,41,43,https://www.betexplorer.com/soccer/colombia/copa-aguila/stats/
,,,,,,,
0%,Torneo Aguila 2019,Colombia,0%,0%,0,120,https://www.betexplorer.com/soccer/colombia/torneo-aguila/stats/
,,,,,,,
0%,Campeonato Nacional 2019,Cape Verde,0%,0%,0,6,https://www.betexplorer.com/soccer/cape-verde/campeonato-nacional/stats/
,,,,,,,
38%,Cyprus Cup 2018/2019,Cyprus,18%,44%,34,2,https://www.betexplorer.com/soccer/cyprus/cyprus-cup/stats/
,,,,,,,
75%,Tipsport liga 2019,Czech Republic,0%,25%,4,0,https://www.betexplorer.com/soccer/czech-republic/tipsport-liga/stats/
,,,,,,,
0%,LDF 2019,Dominican Republic,60%,40%,5,40,https://www.betexplorer.com/soccer/dominican-republic/ldf/stats/
,,,,,,,
30%,Primera Division 2018/2019,Costa Rica,28%,42%,111,21,https://www.betexplorer.com/soccer/costa-rica/primera-division/stats/
,,,,,,,
36%,1. HNL 2018/2019,Croatia,26%,38%,133,47,https://www.betexplorer.com/soccer/croatia/1-hnl/stats/
,,,,,,,
22%,Premier Soccer League 2019,Zimbabwe,22%,56%,9,9,https://www.betexplorer.com/soccer/zimbabwe/premier-soccer-league/stats/
,,,,,,,
0%,Super Cup 2019,Chile,0%,100%,1,0,https://www.betexplorer.com/soccer/chile/super-cup/stats/
,,,,,,,
56%,Chilean Cup 2019,Chile,31%,13%,16,0,https://www.betexplorer.com/soccer/chile/chilean-cup/stats/
,,,,,,,
0%,Canadian Premier League 2019,Canada,0%,0%,0,98,https://www.betexplorer.com/soccer/canada/canadian-premier-league/stats/
,,,,,,,
23%,Primera B 2019,Chile,44%,33%,48,72,https://www.betexplorer.com/soccer/chile/primera-b/stats/
,,,,,,,
44%,FA Cup 2019,China,14%,42%,46,16,https://www.betexplorer.com/soccer/china/fa-cup/stats/
,,,,,,,
33%,Yi League 2019,China,23%,44%,43,437,https://www.betexplorer.com/soccer/china/yi-league/stats/
,,,,,,,
30%,Primera Division 2019,Chile,26%,45%,47,73,https://www.betexplorer.com/soccer/chile/primera-division/stats/
,,,,,,,
22%,Liga Aguila 2019,Colombia,37%,40%,126,74,https://www.betexplorer.com/soccer/colombia/liga-aguila/stats/
,,,,,,,
0%,Super Cup 2019,China,0%,100%,1,0,https://www.betexplorer.com/soccer/china/super-cup/stats/
,,,,,,,
32%,Jia League 2019,China,20%,48%,25,215,https://www.betexplorer.com/soccer/china/jia-league/stats/
,,,,,,,
38%,Super League 2019,China,17%,46%,24,216,https://www.betexplorer.com/soccer/china/super-league/stats/
,,,,,,,
4%,Egypt Cup 2018/2019,Egypt,29%,67%,24,3,https://www.betexplorer.com/soccer/egypt/egypt-cup/stats/
,,,,,,,
39%,2nd Division - Group 2 2018/2019,Denmark,26%,35%,120,12,https://www.betexplorer.com/soccer/denmark/2nd-division-group-2/stats/
,,,,,,,
32%,Premier League 2018/2019,Egypt,35%,33%,235,32,https://www.betexplorer.com/soccer/egypt/premier-league/stats/
,,,,,,,
0%,Championship 2019,Canada,0%,0%,0,6,https://www.betexplorer.com/soccer/canada/championship/stats/
,,,,,,,
35%,2nd Division - Group 1 2018/2019,Denmark,24%,41%,120,12,https://www.betexplorer.com/soccer/denmark/2nd-division-group-1/stats/
,,,,,,,
36%,Liga Pro 2019,Ecuador,23%,41%,56,184,https://www.betexplorer.com/soccer/ecuador/liga-pro/stats/
,,,,,,,
31%,1st Division 2018/2019,Denmark,26%,43%,143,55,https://www.betexplorer.com/soccer/denmark/1st-division/stats/
,,,,,,,
0%,Superliga 2018/2019,Denmark,67%,33%,3,27,https://www.betexplorer.com/soccer/denmark/superliga/stats/
,,,,,,,
25%,First Division 2018/2019,Cyprus,33%,42%,12,9,https://www.betexplorer.com/soccer/cyprus/first-division/stats/
,,,,,,,
29%,Super Ligue 2018/2019,DR Congo,26%,45%,202,38,https://www.betexplorer.com/soccer/dr-congo/super-ligue/stats/
,,,,,,,
26%,Super League 2019,Zambia,32%,42%,93,7,https://www.betexplorer.com/soccer/zambia/super-league/stats/
,,,,,,,
26%,Division 1 2014/2015,Yemen,29%,45%,155,27,https://www.betexplorer.com/soccer/yemen/division-1/stats/
,,,,,,,
